Challenge,Slope
WT challenge,-0.04006347919734905
WT challenge,0.0768710256844591
WT challenge,0.10084402390884764
WT challenge,0.08439507323137385
WT challenge,-0.013022385501359767
WT challenge,-0.026732046034651624
T8A challenge,-0.12877028648007532
T8A challenge,-0.01183578159826717
T8A challenge,0.012137216626121373
T8A challenge,-0.004311734051352411
T8A challenge,-0.10172919278408603
T8A challenge,-0.11543885331737788
N3A challenge,0.05754056990652297
N3A challenge,0.1744750747883311
N3A challenge,0.19844807301271966
N3A challenge,0.18199912233524587
N3A challenge,0.08458166360251225
N3A challenge,0.0708720030692204
