Challenge,Slope
WT challenge,0.026145721054249726
WT challenge,6.680027713716896e-05
WT challenge,0.07395133235729112
WT challenge,0.005028773174347823
WT challenge,0.004539053294733452
WT challenge,0.14733333238598326
WT challenge,-0.001165656486595612
T8A challenge,-0.05240966251023993
T8A challenge,-0.07848858328735249
T8A challenge,-0.004604051207198534
T8A challenge,-0.07352661039014183
T8A challenge,-0.07401633026975621
T8A challenge,0.0687779488214936
T8A challenge,-0.07972104005108527
N3A challenge,-0.03811987427187145
N3A challenge,-0.064198795048984
N3A challenge,0.00968573703116995
N3A challenge,-0.05923682215177335
N3A challenge,-0.05972654203138772
N3A challenge,0.08306773705986208
N3A challenge,-0.06543125181271678
