Challenge,Slope
WT challenge,0.2372347688298185
WT challenge,0.16557136911167225
WT challenge,0.19587815929018806
WT challenge,0.27459548892132957
WT challenge,0.16600615446004996
WT challenge,0.19355215850844337
WT challenge,0.2134292601719852
T8A challenge,0.1433247754452517
T8A challenge,0.07166137572710544
T8A challenge,0.10196816590562126
T8A challenge,0.18068549553676277
T8A challenge,0.07209616107548315
T8A challenge,0.09964216512387658
T8A challenge,0.1195192667874184
N3A challenge,0.04449976009520125
N3A challenge,-0.02716363962294501
N3A challenge,0.003143150555570795
N3A challenge,0.0818604801867123
N3A challenge,-0.026728854274567303
N3A challenge,0.0008171497738261202
N3A challenge,0.020694251437367937
