Challenge,Slope
WT challenge,0.1630974402572387
WT challenge,0.12569966940449168
WT challenge,0.12914931297883925
WT challenge,0.17771683843169842
WT challenge,0.1338256158793804
WT challenge,0.12093416041427547
WT challenge,0.17474113205507802
T8A challenge,0.17164253557897746
T8A challenge,0.13424476472623043
T8A challenge,0.137694408300578
T8A challenge,0.18626193375343716
T8A challenge,0.14237071120111916
T8A challenge,0.1294792557360142
T8A challenge,0.18328622737681677
N3A challenge,0.027297061345762506
N3A challenge,-0.01010070950698454
N3A challenge,-0.006651065932636957
N3A challenge,0.0419164595202222
N3A challenge,-0.001974763032095783
N3A challenge,-0.014866218497200734
N3A challenge,0.03894075314360181
