Challenge,Slope
WT challenge,0.15293447824337
WT challenge,0.11237074005562038
WT challenge,0.13516723515732404
WT challenge,0.16563646974651788
WT challenge,0.0822432257952344
WT challenge,0.05140827884752728
WT challenge,0.11598587091177066
T8A challenge,0.13475739735432316
T8A challenge,0.09419365916657352
T8A challenge,0.11699015426827719
T8A challenge,0.14745938885747104
T8A challenge,0.06406614490618753
T8A challenge,0.03323119795848042
T8A challenge,0.0978087900227238
N3A challenge,0.015749860991302177
N3A challenge,-0.024813877196447454
N3A challenge,-0.0020173820947437804
N3A challenge,0.028451852494450057
N3A challenge,-0.05494139145683343
N3A challenge,-0.08577633840454055
N3A challenge,-0.02119874634029717
