Challenge,Slope
WT challenge,-0.02849119822639734
WT challenge,0.019057616266704925
WT challenge,0.05212294500191925
WT challenge,-0.0141070946038083
WT challenge,-0.0845454554524058
T8A challenge,0.100871254505046
T8A challenge,0.14842006899814825
T8A challenge,0.18148539773336259
T8A challenge,0.11525535812763503
T8A challenge,0.04481699727903754
N3A challenge,-0.05564593407187517
N3A challenge,-0.008097119578772904
N3A challenge,0.024968209156441424
N3A challenge,-0.04126183044928613
N3A challenge,-0.11170019129788362
