Challenge,Slope
WT challenge,0.034434971708085446
WT challenge,-0.0014642334772587695
WT challenge,0.04384778632377388
WT challenge,0.04736124611610171
WT challenge,-0.04544167878830363
WT challenge,-0.08439968154930293
WT challenge,-0.018841356496031823
T8A challenge,-0.023087686488679628
T8A challenge,-0.05898689167402384
T8A challenge,-0.01367487187299119
T8A challenge,-0.010161412080663368
T8A challenge,-0.10296433698506871
T8A challenge,-0.141922339746068
T8A challenge,-0.0763640146927969
N3A challenge,-0.05436430698956629
N3A challenge,-0.0902635121749105
N3A challenge,-0.044951492373877855
N3A challenge,-0.04143803258155003
N3A challenge,-0.13424095748595538
N3A challenge,-0.17319896024695466
N3A challenge,-0.10764063519368357
